articleCode,title,category,price($)
1003594001,Overalls,men_trousers,39.99
1032522013,Relaxed Fit Cotton T-shirt,men_tshirtstanks_shortsleeve,12.99
1067651001,Oversized Fit Rugby Shirt,men_tshirtstanks_longsleeve,24.99
1079455001,Relaxed Fit Twill Pants,men_trousers,34.99
1003594003,Overalls,men_trousers,39.99
0863952035,Patterned T-shirt,men_tshirtstanks_shortsleeve,14.99
1038153001,Relaxed Fit Tie-dye Hoodie,men_hoodiessweatshirts_hoodies,34.99
1044667002,Round Sunglasses,men_accessories_sunglasses,9.99
1043363001,Long Coach Jacket,men_jacketscoats_jackets,59.99
1079455002,Relaxed Fit Twill Pants,men_trousers,34.99
1047027001,Sneakers,men_shoes_sneakers,34.99
1048932002,Sunglasses,men_accessories_sunglasses,9.99
1058318001,Teddy-bear Cargo Vest,men_jacketscoats_jackets,34.99
1065122001,Cotton Twill Cap,men_accessories_hatscaps_caps,9.99
1048614001,Twill Bucket Hat,men_accessories_hatscaps_hats,12.99
1043368001,Oversized Fit Padded Shacket,men_jacketscoats_jackets,59.99
1033909002,Relaxed Fit Twill Overshirt,men_shirts_longsleeved,34.99
1043772001,Relaxed Fit Sweatshorts,men_shorts,24.99
1065122002,Cotton Twill Cap,men_accessories_hatscaps_caps,9.99
1038427001,Regular Fit Twill Cargo Pants,men_trousers_cargo,34.99
1038427002,Regular Fit Twill Cargo Pants,men_trousers_cargo,34.99
1058708001,Oversized Fit Corduroy Overshirt,men_shirts_longsleeved,34.99
1038416003,Regular Fit Cargo Pants,men_trousers_trousers_regular_all,34.99
1039815001,Oversized Fit Rugby Shirt,men_tshirtstanks_longsleeve,24.99
1034065004,Relaxed Fit Cotton T-shirt,men_tshirtstanks_shortsleeve,14.99
1058708002,Oversized Fit Corduroy Overshirt,men_shirts_longsleeved,34.99
0967955033,Relaxed Fit T-shirt,men_tshirtstanks_shortsleeve,12.99
0967955032,Relaxed Fit T-shirt,men_tshirtstanks_shortsleeve,12.99
1043408001,Lightweight Water-repellent Jacket,men_jacketscoats_function,49.99
0757813014,Tank Top,men_tshirtstanks_tanks,5.99
0978480006,Oversized Denim Jacket,men_jacketscoats_denimjackets,59.99
0757813013,Tank Top,men_tshirtstanks_tanks,5.99
1057787002,Relaxed Fit Half-zip Sweatshirt,men_hoodiessweatshirts_sweatshirts,29.99
1034065003,Relaxed Fit Cotton T-shirt,men_tshirtstanks_shortsleeve,14.99
1038416001,Regular Fit Cargo Pants,men_trousers_trousers_regular_all,34.99
0684021157,Printed T-shirt,men_tshirtstanks_printed,9.99
1046147001,Sunglasses,men_accessories_sunglasses,12.99
0978480005,Oversized Denim Jacket,men_jacketscoats_denimjackets,59.99
1046147003,Sunglasses,men_accessories_sunglasses,12.99
1043408003,Lightweight Water-repellent Jacket,men_jacketscoats_function,49.99
1048600003,Cotton Bucket Hat,men_accessories_hatscaps_hats,12.99
0998182003,Small Shoulder Bag,men_accessories_bags,14.99
1048584001,Ripstop Cap,men_accessories_hatscaps_caps,12.99
0721390034,Slim Fit Twill Pants,men_trousers_trousers_slim_all,19.99
1040615001,Faux Leather Jacket,men_jacketscoats_jackets,69.99
1038813002,Relaxed Fit Cotton Chinos,men_trousers_chinos,34.99
1045472001,Chunky Sneakers,men_shoes_sneakers,49.99
1038813001,Relaxed Fit Cotton Chinos,men_trousers_chinos,34.99
1040639001,Faux Suede Shacket,men_jacketscoats_jackets,79.99
1037255001,Relaxed Fit Printed T-shirt,men_tshirtstanks_printed,12.99
1043387002,Water-repellent Parka,men_jacketscoats_jackets,69.99
1004945008,Denim Overshirt,men_shirts_denim,34.99
1048932001,Sunglasses,men_accessories_sunglasses,9.99
0950488006,Regular Fit Shirt,men_shirts_longsleeved,24.99
1048597001,Drawstring Bucket Hat,men_accessories_hatscaps_hats,14.99
1036524002,Regular Fit Cotton T-shirt,men_tshirtstanks_shortsleeve,12.99
0970245003,Belt Bag,men_accessories_bags_waistbags,19.99
1036524003,Regular Fit Cotton T-shirt,men_tshirtstanks_shortsleeve,12.99
1056724003,Cotton Twill Overshirt,men_jacketscoats_denimjackets,49.99
1043387001,Water-repellent Parka,men_jacketscoats_jackets,69.99
0975620005,10-pack Regular Fit Crew-neck T-shirts,men_tshirtstanks_shortsleeve,54.99
0970819001,Relaxed-fit Hoodie,men_hoodiessweatshirts_hoodies,24.99
0624684003,5-pack Slim Fit T-shirts,men_tshirtstanks_multipacks,34.99
0976709001,Slim Fit Easy-iron Shirt,men_shirts_longsleeved,14.99
0714032038,Skinny Fit Suit Pants,men_trousers_trousers_skinny_all,34.99
0985159001,Skinny Jeans,men_jeans_skinny,19.99
0970817001,Regular Fit Joggers,men_trousers_joggers,17.99
0713995043,Skinny Fit Blazer,men_blazerssuits_blazers,59.99
1002227001,Cargo Joggers,men_trousers_cargo,39.99
1024256001,Slim Jeans,men_jeans_slim,19.99
0713986029,Slim Fit Blazer,men_blazerssuits_blazers,69.99
0690449051,Skinny Jeans,men_jeans_ripped,39.99
0967417002,Regular Fit Sweatshorts,men_shorts,12.99
0970819006,Relaxed-fit Hoodie,men_hoodiessweatshirts_hoodies,24.99
0598755001,Long Fit T-shirt,men_tshirtstanks_bestbasics,9.99
1002227003,Cargo Joggers,men_trousers_cargo,39.99
0967417001,Regular Fit Sweatshorts,men_shorts,12.99
1038427005,Regular Fit Twill Cargo Pants,men_trousers_cargo,34.99
0970818001,Relaxed Fit Sweatshirt,men_hoodiessweatshirts_sweatshirts,12.99
0713986044,Slim Fit Blazer,men_blazerssuits_blazers,69.99
0852614001,Regular Fit Hooded Jacket,men_hoodiessweatshirts_hoodies,24.99
0598755002,Long Fit T-shirt,men_tshirtstanks_bestbasics,9.99
0997065001,Skinny Fit Cargo Joggers,men_trousers_cargo,34.99
0690449043,Skinny Jeans,men_jeans_ripped,39.99
0970818023,Relaxed Fit Sweatshirt,men_hoodiessweatshirts_sweatshirts,12.99
0976709003,Slim Fit Easy-iron Shirt,men_shirts_longsleeved,14.99
0714026025,Slim Fit Suit Pants,men_trousers_trousers_slim_all,34.99
1011122001,Regular Fit Joggers,men_trousers_trousers_regular_all,24.99
0690449022,Skinny Jeans,men_jeans_ripped,39.99
0970819012,Relaxed-fit Hoodie,men_hoodiessweatshirts_hoodies,24.99
0912352001,Slim Fit Blazer,men_blazerssuits_blazers,69.99
1008549006,Regular Jeans,men_jeans_regular,19.99
0852614011,Regular Fit Hooded Jacket,men_hoodiessweatshirts_hoodies,24.99
1046189003,Muscle Fit Piqué Polo Shirt,MEN_TSHIRTSTANKS_POLO,14.99
1028080001,Printed Pool Shoes,men_shoes,17.99
0721390001,Slim Fit Twill Pants,men_trousers_trousers_slim_all,19.99
0685816002,Regular Fit Crew-neck T-shirt,men_tshirtstanks_bestbasics,5.99
0862104001,Sports Joggers,men_sport_bottoms_trousers,34.99
0624684017,5-pack Slim Fit T-shirts,men_tshirtstanks_multipacks,34.99
0690449056,Skinny Jeans,men_jeans_ripped,39.99
0714032037,Skinny Fit Suit Pants,men_trousers_trousers_skinny_all,34.99
0945169006,2-pack Regular Fit Sweatshorts,men_shorts,24.99
1013956009,Regular Fit Oxford Shirt,men_shirts_longsleeved,24.99
1007196003,Skinny Fit Cotton Chinos,men_trousers_chinos_skinny_all,29.99
0976641002,Bomber Jacket,men_jacketscoats_bomberjackets,34.99
0721390002,Slim Fit Twill Pants,men_trousers_trousers_slim_all,19.99
1035207004,Oversized Fit Cotton T-shirt,men_tshirtstanks_shortsleeve,17.99
1003594004,Overalls,men_trousers,39.99
0979763001,Chelsea Boots,men_shoes_boots,49.99
0956308002,Regular Fit Sweatshorts,men_shorts,12.99
0542533049,3-pack Slim Fit T-shirts,men_tshirtstanks_shortsleeve,24.99
0970816001,2-pack Regular Fit Joggers,men_trousers_trousers_regular_all,34.99
1002227002,Cargo Joggers,men_trousers_cargo,39.99
0970819023,Relaxed-fit Hoodie,men_hoodiessweatshirts_hoodies,24.99
1046189006,Muscle Fit Piqué Polo Shirt,MEN_TSHIRTSTANKS_POLO,14.99
0927964002,Regular Tapered Crop Jeans,men_jeans_regular,19.99
0970818018,Relaxed Fit Sweatshirt,men_hoodiessweatshirts_sweatshirts,12.99
1028143002,2-pack Relaxed Fit Short-sleeved Shirts,men_shirts_casual,24.99
0407354004,Hooded Denim Jacket,men_jacketscoats_denimjackets,49.99
0970818002,Relaxed Fit Sweatshirt,men_hoodiessweatshirts_sweatshirts,12.99
0970819007,Relaxed-fit Hoodie,men_hoodiessweatshirts_hoodies,24.99
0578630003,3-pack Slim Fit T-shirts,men_tshirtstanks_bestbasics,24.99
0680441017,Slim Fit Turtleneck Shirt,men_tshirtstanks,17.99
0728830001,Sneakers,men_shoes_sneakers,29.99
0969885001,Slim Fit Suit Pants,men_blazerssuits_trousers,24.99
0685816001,Regular Fit Crew-neck T-shirt,men_tshirtstanks_bestbasics,5.99
0721390003,Slim Fit Twill Pants,men_trousers_trousers_slim_all,19.99
1038196002,2-pack Regular Fit Cotton Chino Shorts,men_shorts_chinos,49.99
0970819002,Relaxed-fit Hoodie,men_hoodiessweatshirts_hoodies,24.99
1024256002,Slim Jeans,men_jeans_slim,19.99
1008549003,Regular Jeans,men_jeans_regular,19.99
1023113002,Bomber Jacket,men_jacketscoats_bomberjackets,34.99
1033909005,Relaxed Fit Twill Overshirt,men_shirts_longsleeved,34.99
0993173001,Muscle Fit Band-collar Shirt,men_shirts_longsleeved,24.99
0970816007,2-pack Regular Fit Joggers,men_trousers_trousers_regular_all,34.99
1035207003,Oversized Fit Cotton T-shirt,men_tshirtstanks_shortsleeve,17.99
