Date,Close/Last,Volume,Open,High,Low
03/11/2022,$2.9,59913,$2.985,$2.985,$2.89
03/10/2022,$2.9,331788,$2.83,$2.96,$2.83
03/09/2022,$3.01,214160,$3.01,$3.0435,$2.97
03/08/2022,$2.79,838139,$2.71,$2.9,$2.7
03/07/2022,$2.61,651838,$2.78,$2.78,$2.59
03/04/2022,$2.78,157740,$2.77,$2.805,$2.75
03/03/2022,$2.84,408260,$2.97,$2.97,$2.83
03/02/2022,$3.07,314857,$3.07,$3.082,$3.03
03/01/2022,$3.11,585207,$3.2,$3.2,$3.08
02/28/2022,$3.31,322381,$3.255,$3.345,$3.24
02/25/2022,$3.5,146893,$3.45,$3.51,$3.45
02/24/2022,$3.41,268532,$3.27,$3.43,$3.26
02/23/2022,$3.49,224534,$3.61,$3.61,$3.49
02/22/2022,$3.57,74613,$3.59,$3.605,$3.54
02/18/2022,$3.65,31825,$3.685,$3.69,$3.63
02/17/2022,$3.705,37615,$3.74,$3.74,$3.7
02/16/2022,$3.83,159250,$3.81,$3.84,$3.8
02/15/2022,$3.845,114879,$3.834,$3.85,$3.825
02/14/2022,$3.71,35622,$3.735,$3.76,$3.7
02/11/2022,$3.85,27688,$3.893,$3.92,$3.82
02/10/2022,$3.85,33019,$3.85,$3.93,$3.85
02/09/2022,$3.862,269602,$3.876,$3.9199,$3.85
02/08/2022,$3.776,119217,$3.75,$3.78,$3.735
02/07/2022,$3.72,67737,$3.73,$3.735,$3.7
02/04/2022,$3.72,54693,$3.71,$3.73,$3.677
02/03/2022,$3.77,74528,$3.78,$3.81,$3.77
02/02/2022,$3.82,59244,$3.825,$3.825,$3.7933
02/01/2022,$3.87,102917,$3.888,$3.9,$3.84
01/31/2022,$3.9,180776,$3.88,$3.92,$3.87
01/28/2022,$3.941,96012,$3.87,$3.95,$3.86
01/27/2022,$3.74,115797,$3.755,$3.79,$3.71
01/26/2022,$3.712,238456,$3.765,$3.78,$3.69
01/25/2022,$3.6905,190266,$3.64,$3.71,$3.62
01/24/2022,$3.63,153956,$3.52,$3.63,$3.51
01/21/2022,$3.6735,108791,$3.7,$3.715,$3.67
01/20/2022,$3.71,87861,$3.78,$3.82,$3.71
01/19/2022,$3.78,302581,$3.78,$3.81,$3.7795
01/18/2022,$3.74,354143,$3.8,$3.8,$3.7309
01/14/2022,$3.87,38653,$3.89,$3.9,$3.85
01/13/2022,$3.97,40444,$3.97,$3.99,$3.95
01/12/2022,$3.93,72872,$3.91,$3.93,$3.89
