articleCode,title,category,price($)
1047749001,2-piece Bodysuit and Shorts Set,kids_baby_boy_setsoutfits,14.99
0941174005,3-piece Cotton Set,kids_baby_girl_clothing_dresses,19.99
1066665001,2-piece Set,kids_baby_girl_setsoutfits,19.99
0754107003,3-piece Jersey Set,kids_new_born_clothing_trousersleggings,14.99
0942293020,3-pack Short-sleeved Bodysuits,kids_baby_boy_clothing_bodysuits,17.99
1050884002,3-piece Printed Set,kids_new_born_clothing_trousersleggings_trousers,14.99
1046702004,2-piece Rib-knit Set,kids_baby_girl_setsoutfits,17.99
0931364011,2-piece Printed Set,kids_baby_girl_clothing_tops_tshirts,14.99
0657394053,2-pack Jumpsuits,kids_baby_boy_clothing_nightwear,19.99
0813803019,Printed T-shirt,kids_baby_boy_clothing_tshirtsshirts_tshirts,3.99
1027847001,2-piece Cotton Set,kids_baby_boy_clothing_trousersjeans_joggerssweatpants,14.99
0928133027,Ruffle-trimmed Jersey Dress,kids_baby_girl_clothing_dresses,4.99
0596950024,2-pack Cotton Bodysuits,kids_baby_boy_clothing_bodysuits,14.99
0705255010,3-pack Jersey Jumpsuits,kids_baby_boy_clothing_nightwear,14.99
0931281007,2-piece Printed Set,kids_baby_girl_clothing_tops_tshirts,9.99
0806000038,2-pack Jersey T-shirts,kids_baby_boy_clothing_tshirtsshirts_tshirts,9.99
0997053005,Appliquéd Pajama Jumpsuit,kids_baby_boy_clothing_nightwear,9.99
1060229002,Patterned Dress with Ruffles,kids_baby_girl_clothing_dresses,9.99
0744243007,Patterned Swimsuit,kids_baby_girl_clothing_swimwear,14.99
1038048001,2-piece Terry Set,kids_baby_boy_setsoutfits,19.99
0937588008,Cotton Dress,kids_baby_girl_clothing_dresses,9.99
1063219003,Cotton Jersey Jumpsuit,kids_baby_boy_outerwear_snowsuits,14.99
0737023020,3-pack Sleeveless Bodysuits,kids_baby_girl_clothing_bodysuits,17.99
1034544001,5-pack Cotton T-shirts,kids_baby_girl_clothing_tops_tshirts,32.99
0834458010,2-pack Chino Shorts,kids_baby_boy_clothing_shorts,14.99
0965325003,Swimsuit,kids_baby_girl_clothing_swimwear,14.99
1060693002,Short-sleeved Romper Suit,kids_baby_boy_outerwear_snowsuits,12.99
1051236001,Denim Jumpsuit,kids_baby_boy_clothing_jumpsuitsplaysuits,14.99
0995211005,Waffled Set,kids_baby_boy_clothing_tshirtsshirts_tshirts,24.99
1072561001,2-piece Cotton Set,kids_baby_boy_setsoutfits,24.99
0943266003,2-piece Cotton Set,kids_baby_boy_clothing_tshirtsshirts_shirts,19.99
0588184036,5-pack Bodysuits,kids_baby_boy_clothing_bodysuits,24.99
0867135040,Ribbed Cotton Set,kids_baby_boy_clothing_tshirtsshirts_tshirts,14.99
1028697002,Sleeveless Cotton Romper Suit,kids_baby_boy_outerwear_snowsuits,14.99
1028697001,Sleeveless Cotton Romper Suit,kids_baby_boy_outerwear_snowsuits,14.99
1063219002,Cotton Jersey Jumpsuit,kids_baby_boy_outerwear_snowsuits,14.99
0725787016,5-pack T-shirts,kids_baby_boy_clothing_tshirtsshirts_tshirts,29.99
0981900002,Adjustable Fit Set,kids_new_born_clothing_trousersleggings,19.99
0866778013,5-pack Cotton Pants,kids_new_born_clothing_trousersleggings,29.99
0714714015,5-pack Jersey Leggings,kids_new_born_clothing_trousersleggings,24.99
1045005001,Denim Jacket,kids_baby_boy_outerwear_jacketscoats,19.99
0146706004,3-pack Bodysuits,kids_baby_boy_clothing_bodysuits,12.99
0825367023,2-pack Cotton T-shirts,kids_baby_boy_clothing_tshirtsshirts_tshirts,17.99
0932432011,Patterned Jumpsuit,kids_baby_girl_clothing_jumpsuitsplaysuits,6.99
0942810011,3-pack Sleeveless Bodysuits,kids_baby_boy_clothing_bodysuits,17.99
0932242012,3-piece Cotton Set,kids_baby_girl_clothing_dresses,24.99
0807908018,Cotton Canvas Sandals,kids_baby_boy_shoes_sandalsflipflops,12.99
0814306002,5-pack Wrapover Bodysuits,kids_baby_boy_clothing_bodysuits,29.99
0866778016,5-pack Cotton Pants,kids_new_born_clothing_trousersleggings,29.99
0796703011,Cotton Jacket,kids_baby_boy_outerwear_jacketscoats,24.99
1045773001,3-pack Comfort Stretch Skinny Fit Jeans,kids_baby_boy_clothing_trousersjeans_jeans,34.99
1036299001,2-piece Set,kids_baby_boy_clothing_trousersjeans_joggerssweatpants,19.99
0824467005,2-pack Cotton Sun Hats,kids_baby_boy_accessories_hats,12.99
0724977007,Cotton Pants with Suspenders,kids_new_born_clothing_trousersleggings,24.99
0738521008,Cotton Overall Shorts,kids_baby_boy_clothing_shorts,19.99
0923503006,Ruffle-trimmed Overall Shorts,kids_baby_girl_clothing_shorts,14.99
0768858001,Shirt and Chinos,kids_baby_boy_clothing_trousersjeans_trousers,29.99
0869623020,3-piece Cotton Set,kids_baby_girl_clothing_tops_blouses,19.99
0932400003,2-pack Picot-trim Bodysuits,kids_baby_girl_clothing_bodysuits,9.99
1045005002,Denim Jacket,kids_baby_boy_outerwear_jacketscoats,19.99
